Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_45,45,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 25,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_46,46,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 27,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_47,47,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 27,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_48,48,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 27,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_49,49,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 30,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_50,50,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 30,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_51,51,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 30,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_52,52,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 31,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_53,53,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 31,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_54,54,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 31,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Untreated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
