Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Date Frozen,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_37,37,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 21,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_38,38,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 21,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_39,39,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 21,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_40,40,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 23,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_41,41,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 23,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_42,42,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 23,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_43,43,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 25,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_44,44,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 25,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_45,45,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 25,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_46,46,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 27,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
